Zipcode,Order#,City,State
851,[3011852703],['KINGSHILL'],['FL']
1001,"[3020712218, 3010739919]","['AGAWAM', 'AGAWAM']","['MA', 'MA']"
1020,"[3022908864, 3017778415]","['CHICOPEE', 'CHICOPEE']","['MA', 'MA']"
1030,"[2733449216, 3020534690]","['FEEDING HILLS', 'FEEDING HILLS']","['MA', 'MA']"
1033,[3013067744],['GRANBY'],['MA']
1034,[3008025353],['TOLLAND'],['MA']
1060,"[3023139318, 3007451226]","['NORTHAMPTON', 'NORTHAMPTON']","['MA', 'MA']"
1066,[2747136891],['NORTH HATFIELD'],['MA']
1082,[3019155895],['WARE'],['MA']
1085,"[3023034426, 3003495554]","['WESTFIELD', 'WESTFIELD']","['MA', 'MA']"
1089,"[3024139654, 3022006745]","['WEST SPRINGFIELD', 'WEST SPRINGFIELD']","['MA', 'MA']"
1095,[3012547931],[nan],['MA']
1103,[2587979543],['SPRINGFIELD'],['MA']
1104,[3021155686],['SPRINGFIELD'],['MA']
1106,[3012417076],['LONGMEADOW'],['MA']
1108,"[2997786435, 2997786435, 2997786435, 2997786435]","['SPRINGFIELD', 'SPRINGFIELD', 'SPRINGFIELD', 'SPRINGFIELD']","['MA', 'MA', 'MA', 'MA']"
1109,[3020151038],['SPRINGFIELD'],['MA']
1119,[3022627496],['SPRINGFIELD'],['MA']
1201,"[3024353819, 2060212672]","['PITTSFIELD', 'PITTSFIELD']","['MA', 'MA']"
1237,"[3023072666, 3019427534, 3019427534, 2987432512]","['LANESBORO', 'Lanesborough', 'Lanesborough', 'LANESBOROUGH']","['MA', 'MA', 'MA', 'MA']"
1238,"[3021110291, 3010532833]","['LEE', 'LEE']","['MA', 'MA']"
1240,[3023433852],['LENOX'],['MA']
1247,[3023227403],['CLARKSBURG'],['MA']
1255,[3023400476],['SANDISFIELD'],['MA']
1267,"[2869886941, 2869886941, 2869886941]","['WILLIAMSTOWN', 'WILLIAMSTOWN', 'WILLIAMSTOWN']","['MA', 'MA', 'MA']"
1355,[3021126087],['NEW SALEM'],['MA']
1370,[3007800513],['SHELBURNE FALLS'],['MA']
1420,"[2926565207, 2926565207]","['FITCHBURG', 'FITCHBURG']","['MA', 'MA']"
1431,[3009705858],['ASHBY'],['MA']
1432,"[3022961907, 3012876018]","['AYER', 'AYER']","['MA', 'MA']"
1451,[3024145039],['HARVARD'],['MA']
1452,[3010097712],['HUBBARDSTON'],['MA']
1453,"[3023476615, 3007973425]","['LEOMINSTER', 'LEOMINSTER']","['MA', 'MA']"
1460,[3022248348],['LITTLETON'],['MA']
1464,[3019920831],['SHIRLEY'],['MA']
1475,[3010192683],['WINCHENDON'],['MA']
1501,[3023997640],['AUBURN'],['MA']
1505,"[3023139174, 3022867123, 2783751416]","['BOYLSTON', 'BOYLSTON', 'BOYLSTON']","['MA', 'MA', 'MA']"
1507,[2915679666],['CHARLTON'],['MA']
1510,[3023442727],['CLINTON'],['MA']
1518,[3022565015],['FISKDALE'],['MA']
1520,"[3023476592, 3021421540, 3012935087]","['HOLDEN', 'HOLEDN', 'HOLDEN']","['MA', 'MA', 'MA']"
1522,[3021150364],['JEFFERSON'],['MA']
1524,[3023736977],['LEICESTER'],['MA']
1527,"[2891090327, 2891090327, 2884981435]","['MILLBURY', 'MILLBURY', 'MILLBURY']","['MA', 'MA', 'MA']"
1540,[3020074580],['OXFORD'],['MA']
1543,[2984327543],['RUTLAND'],['MA']
1545,"[3024392880, 2964694684, 3010290078]","['SHREWSBURY', 'SHREWSBURY', 'SHREWSBURY']","['MA', 'MA', 'MA']"
1550,"[2961552212, 2961552212, 2685600520]","['SOUTHBRIDGE', 'SOUTHBRIDGE', 'SOUTHBRIDGE']","['MA', 'MA', 'MA']"
1560,[3003391313],['SOUTH GRAFTON'],['MA']
1562,"[3024143084, 2891727486, 2891727486, 2891727486, 2887912249]","['SPENCER', 'SPENCER', 'SPENCER', 'SPENCER', 'SPENCER']","['MA', 'MA', 'MA', 'MA', 'MA']"
1566,[3022968108],['STURBRIDGE'],['MA']
1568,[3001224631],['UPTON'],['MA']
1569,[3006995733],[nan],['MA']
1570,[3022434848],['WEBSTER'],['MA']
1571,[3023062821],['DUDLEY'],['MA']
1581,"[3018249428, 3018249428]","['WESTBOROUGH', 'WESTBOROUGH']","['MA', 'MA']"
1583,"[3011966714, 3011966714, 2976175259, 3006193521, 2985532223, 2985532223, 2985532223, 2985532223, 2985532223, 2985532223]","['WEST BOYLSTON', 'WEST BOYLSTON', 'WEST BOYLSTON', 'WEST BOYLSTON', 'WEST BOYLSTON', 'WEST BOYLSTON', 'WEST BOYLSTON', 'WEST BOYLSTON', 'WEST BOYLSTON', 'WEST BOYLSTON']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
1602,"[2873019803, 2873019803, 2873019803, 2873019803, 2873019803, 2873019803, 2965435424, 2965435424]","['WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
1603,"[3011702574, 3011702574, 3011702574]","['WORCESTER', 'WORCESTER', 'WORCESTER']","['MA', 'MA', 'MA']"
1604,"[3020431703, 2869693104, 2869693104, 2869693104, 3006500712]","['WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER']","['MA', 'MA', 'MA', 'MA', 'MA']"
1605,"[3019533323, 3019533323, 3019533323, 1915076455, 1915076455]","['WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER']","['MA', 'MA', 'MA', 'MA', 'MA']"
1606,"[2889156501, 3010235202]","['WORCESTER', 'WORCESTER']","['MA', 'MA']"
1608,[3023064012],['WORCESTER'],['MA']
1609,"[3023021390, 3023034135, 3020277232, 2869661912, 2869661912, 2462228038, 2462228038, 2912761303, 3012709979]","['WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER', 'WORCESTER']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
1610,"[2997337693, 2997337693]","['WORCESTER', 'WORCESTER']","['MA', 'MA']"
1612,[3005006385],['PAXTON'],['ME']
1701,"[3022267848, 3022555180, 3022555180, 3022555180, 3022555180, 2894713560, 2894713560, 2894713560, 2894713560, 3011922453]","['FRAMINGHAM', 'FRAMINGHAM', 'FRAMINGHAM', 'FRAMINGHAM', 'FRAMINGHAM', 'FRAMINGHAM', 'FRAMINGHAM', 'FRAMINGHAM', 'FRAMINGHAM', 'FRAMINGHAM']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
1719,[3008588454],['BOXBOROUGH'],['MA']
1720,[3005913761],['ACTON'],['MA']
1721,[3022606999],['ASHLAND'],['MA']
1740,[3023756024],['BOLTON'],['MA']
1741,[3019218086],['CARLISLE'],['MA']
1742,"[2922332798, 2922332798, 3020980493, 3006900054]","['CONCORD', 'CONCORD', 'CONCORD', 'CONCORD']","['MA', 'MA', 'MA', 'MA']"
1749,[3023763947],['HUDSON'],['MA']
1752,"[3024305373, 3024037651, 3023793244, 3022468069, 2686463961, 2997331561, 2997331561, 2997331561, 2997331561]","['MARLBOROUGH', 'MARLBOROUGH', 'MARLBOROUGH', 'MARLBOROUGH', 'MARLBOROUGH', 'MARLBOROUGH', 'MARLBOROUGH', 'MARLBOROUGH', 'MARLBOROUGH']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
1754,[3024144856],['MAYNARD'],['MA']
1756,[3018293436],['MENDON'],['MA']
1757,[3021023964],['MILFORD'],['MA']
1760,"[3023823098, 3023130386, 3008634156]","['NATICK', 'NATICK', 'NATICK']","['MA', 'MA', 'MA']"
1772,"[3022517888, 3017240568]","['SOUTHBOROUGH', 'SOUTHBOROUGH']","['MA', 'MA']"
1773,[3024037726],['LINCOLN'],['MA']
1775,[3023338142],['STOW'],['MA']
1776,"[3007185995, 3021024756, 3010363061, 3007651724]","['SUDBURY', 'SUDBURY', 'SUDBURY', 'SUDBURY']","['MA', 'MA', 'MA', 'MA']"
1801,"[3019721260, 3019721260, 3019721260, 3010148446]","['WOBURN', 'WOBURN', 'WOBURN', 'WOBURN']","['MA', 'MA', 'MA', 'MA']"
1803,"[2951934446, 2951934446, 2951934446, 2951934446, 3021301268]","['BURLINGTON', 'BURLINGTON', 'BURLINGTON', 'BURLINGTON', 'BURLINGTON']","['MA', 'MA', 'MA', 'MA', 'MA']"
1810,"[3023268290, 3011417531, 2884874558]","['ANDOVER', 'ANDOVER', 'WOBURN']","['MA', 'MA', 'MA']"
1821,"[3020153504, 3009869778]","['BILLERICA', 'BILLERICA']","['MA', 'MA']"
1824,"[3023555939, 3022606413, 3021713567, 2929721476]","['CHELMSFORD', 'CHELMSFORD', 'CHELMSFORD', 'CHELMSFORD']","['MA', 'MA', 'MA', 'MA']"
1826,"[3021216375, 3014584637, 3014584637]","['DRACUT', 'DRACUT', 'DRACUT']","['MA', 'MA', 'MA']"
1830,"[3022578744, 3022578744, 3018717527, 2992187959]","['HAVERHILL', 'HAVERHILL', 'HAVERHILL', 'Haverhill']","['MA', 'MA', 'MA', 'MA']"
